id,EA_HAB,EA_LIT,EA_MAL,EA_JOUE,EA_AID,EA_EMM,EA_SATTACHE,OA_VAISS,OA_REPAS,OA_ALIME,OA_LINGE,OA_ASPIR,OA_BRICO,OA_COMPT,OA_INVIT,OA_SATREP,OB_DACHQUO,OB_DACHEX,OB_DEDUC,OB_DLOISIR,OB_GESTION,OC_SATREL,OC_DESTAC,VA_MARIDEP,VA_COHAB,VA_MARITJS,VA_DIVORC,VA_FEMENF,VA_HOMENF,VA_DEUXPAR,VA_MERSEUL,VA_EFTAUTO,VA_DROITHOMO,VA_GPOCCPE,VA_PARAIDENF,VA_PARENCH,VA_ENRESPAR,VA_ENFCH,VA_FILLEFILS,VA_ENFAIDPAR,VA_ACCPAR,VA_DIFFAGE,VA_REVFE,VA_DEPFE,VA_FOYEPAN,VA_HOMPOL,VA_ENFMERAC,VA_ENFPERAC,VA_DIVGARD,VA_HOMPRIO,VA_PARPRIO,VA_JEUPRIO,VA_QPERSAGE,VA_QENFPS,VA_QENFSCO,VA_QFINPERSA,VA_QFINPAREN,MA_AGEMQ,MC_DIPLOME,PF_PCSM8,PF_PCSP8,CA_DIPLOME,EA_VERIFC,poids12,PA_DURMTRA,PB_DURMTRA,MA_SEXE,AH_CS8,PF_AGEDEPFOY_rec,PF_AVECQUI_rec,PE_NBFSV_rec,PA_VERIFCOH_rec,PA_FQAVM_rec,PB_FQAVP_rec,PA_MEREBV_rec,PB_PEREBV_rec,TYPFAM3_rec,EA_ADULT16_rec,NBENF14_rec,NBENF3_rec,MA_ACT_rec,NBENFTOTM_rec,EA_AUTPERS_rec,OA_AUTPERS_rec,MA_AGEM_rec
9540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,2,1,2,1,1,5,5,1,1,1,1,1,5,1,5,5,5,1,1,5,1,1,1,5,1,2,3,5,5,5,3,16,8,5,NA,NA,2,2401.722705,NA,NA,1,7,23,2,NA,4,NA,NA,2,3,1,2,2,2,2,0,NA,NA,75
9541,NA,NA,NA,NA,NA,NA,NA,3,5,3,5,7,1,1,3,10,4,3,NA,3,3,8,1,5,2,5,1,1,2,1,5,2,5,1,1,1,1,4,5,1,2,5,5,1,4,5,4,2,3,5,2,2,3,1,4,5,2,14,8,5,NA,8,1,4162.361822,NA,NA,1,7,22,2,NA,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,69
9542,3,3,2,3,97,1,7,2,1,1,2,2,3,3,3,7,1,3,3,3,5,7,3,5,2,3,2,3,3,2,3,3,2,2,2,3,2,3,5,2,3,3,4,3,3,3,3,3,3,5,2,4,3,2,3,3,2,7,8,4,4,8,1,3441.49491,10,10,2,4,19,1,2,4,2,2,1,1,4,2,1,2,2,2,3,3,34
9543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,5,1,1,5,5,1,1,5,4,5,5,1,1,3,5,1,1,5,5,1,4,5,5,5,4,4,3,2,1,10,2,6,1,NA,2,1023.287908,5,NA,1,6,25,1,5,4,2,NA,1,2,1,2,2,2,1,0,NA,NA,48
9544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,2,2,1,2,1,3,2,2,3,3,3,4,3,3,3,3,1,4,3,2,2,3,3,3,3,5,5,5,4,4,15,2,1,1,NA,2,2298.142113,NA,NA,1,8,1,1,NA,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,70
9545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,1,1,1,1,1,3,2,3,2,2,3,1,2,3,4,2,2,3,4,2,3,3,3,2,3,4,3,1,1,5,7,5,2,NA,2,1732.927826,165,165,1,8,23,1,2,4,2,2,1,1,1,2,2,2,2,0,NA,NA,23
9546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,1,1,1,2,1,4,1,1,1,5,1,2,5,1,1,1,4,1,1,5,3,3,2,5,1,1,5,5,5,2,2,4,5,6,NA,NA,2,3666.532656,NA,90,2,6,NA,2,2,3,NA,1,NA,1,5,1,2,2,2,0,NA,NA,19
9547,NA,NA,NA,NA,NA,NA,NA,3,5,4,5,5,3,3,3,10,5,3,NA,3,3,NA,1,5,1,3,2,1,1,1,4,5,3,1,2,3,3,5,5,3,3,3,4,2,2,3,5,4,3,3,3,2,4,4,4,3,3,14,2,6,5,3,1,3855.145218,NA,NA,1,7,25,1,NA,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,69
9548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,9,3,1,1,1,1,1,5,5,5,5,5,1,3,5,5,1,1,5,1,1,5,1,1,1,3,1,5,1,1,12,8,NA,3,NA,2,3303.582517,NA,NA,1,7,23,1,3,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,58
9549,2,3,1,3,3,3,10,1,1,1,1,1,3,1,2,6,2,3,3,3,3,9,1,3,1,1,1,5,5,4,1,4,2,1,2,2,2,5,5,1,4,5,5,1,1,3,5,5,2,4,2,4,3,5,5,1,5,8,4,5,6,1,1,4264.423992,15,NA,2,5,23,1,4,4,2,NA,1,2,4,2,1,2,2,1,3,3,35
9550,8,3,2,3,2,2,10,3,2,2,1,2,5,1,1,10,2,3,3,3,3,10,2,4,3,1,2,1,1,1,4,2,2,3,3,4,2,4,2,2,2,3,3,1,2,2,2,2,3,3,2,3,3,4,3,2,2,7,5,NA,2,5,1,3501.02164,15,15,2,5,20,1,4,4,2,2,1,1,4,2,1,1,2,3,3,3,34
9551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,5,1,1,5,1,4,2,1,2,2,5,4,5,5,4,5,3,5,1,5,3,2,1,5,3,2,2,5,5,3,3,2,11,7,NA,6,NA,2,3688.110156,240,NA,1,3,19,4,2,4,1,NA,1,2,2,1,2,2,2,1,NA,NA,53
9552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,2,1,9,1,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,5,9,9,9,9,3,4,9,9,9,9,9,5,6,NA,2,NA,2,10435.01649,NA,NA,1,8,NA,1,3,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,22
9553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,5,5,1,5,4,5,2,3,2,4,4,5,4,3,4,5,1,4,5,3,9,2,5,2,4,3,4,3,2,3,13,2,NA,6,NA,2,2959.737364,NA,NA,2,8,9,1,1,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,64
9554,4,8,3,2,4,2,7,3,3,3,4,5,1,3,3,5,4,3,3,3,3,7,3,3,2,2,1,2,2,1,3,2,1,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,10,7,5,6,7,1,3469.966262,50,50,1,4,24,1,1,4,1,1,1,1,4,2,1,2,2,2,3,3,45
9555,5,3,5,3,4,4,9,3,4,5,5,4,3,5,3,9,5,3,3,3,3,9,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,5,5,1,5,3,2,2,4,4,4,1,1,4,4,2,3,5,5,3,4,7,4,6,6,6,1,4852.392244,10,10,1,2,19,1,1,4,1,1,1,1,4,2,1,2,2,2,1,1,32
9556,NA,NA,NA,NA,NA,NA,NA,4,4,3,5,4,1,1,3,7,5,3,NA,3,3,NA,3,5,1,2,1,1,1,1,3,1,3,1,1,3,1,3,5,3,2,1,5,1,1,5,1,1,3,5,3,5,3,4,4,3,3,12,4,1,1,1,1,4274.832913,30,NA,1,7,22,1,3,4,1,NA,1,2,3,2,2,2,2,0,NA,1,58
9557,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,2,5,3,10,1,3,3,3,3,NA,1,5,1,5,1,3,3,1,3,1,3,3,2,5,5,5,5,5,5,5,5,1,2,5,2,2,3,5,5,5,4,5,4,2,2,10,1,5,NA,4,1,5179.217925,5,NA,2,5,21,2,1,4,2,NA,1,3,4,1,2,2,2,2,NA,1,48
9558,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,4,3,2,10,2,3,NA,3,3,10,1,5,2,5,1,5,5,2,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5,2,2,3,3,3,1,3,4,4,1,1,12,6,NA,NA,4,1,1876.16759,NA,NA,2,7,19,6,NA,4,NA,NA,2,3,3,2,2,2,2,0,NA,3,59
9559,NA,NA,NA,NA,NA,NA,NA,4,1,3,1,2,4,1,3,10,3,3,NA,3,3,10,1,5,3,3,1,1,2,1,5,1,5,1,1,1,4,5,3,2,4,4,3,3,1,5,1,2,3,1,3,2,1,4,5,1,3,13,3,NA,4,7,1,3941.062135,20,20,2,7,22,1,4,4,2,2,1,1,3,2,2,2,2,0,NA,3,61
9560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,4,1,1,1,5,3,4,2,3,3,3,4,3,2,3,3,2,4,2,2,3,4,2,1,1,1,5,5,5,1,3,14,2,NA,2,NA,2,3939.319468,NA,NA,2,7,26,1,5,4,NA,NA,2,2,2,1,2,2,2,1,NA,NA,68
9561,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,3,3,3,5,1,3,2,3,5,NA,4,4,3,3,2,1,2,2,1,2,2,1,2,4,4,5,5,4,3,3,4,1,4,3,4,2,3,2,5,4,4,4,4,4,3,11,7,5,5,8,1,5201.829804,165,165,2,5,25,1,3,4,1,1,1,1,4,1,2,2,2,1,NA,2,50
9562,3,3,2,2,2,4,5,4,5,2,1,2,5,3,2,6,2,2,2,1,3,NA,4,5,3,1,1,4,4,1,5,1,5,1,1,1,1,4,3,1,4,5,5,1,5,4,5,1,5,5,1,5,4,4,4,1,4,8,4,6,6,1,1,6943.462229,15,NA,2,5,3,1,2,4,2,NA,1,2,4,2,1,2,2,1,1,3,38
9563,4,8,2,3,4,3,10,4,3,3,5,3,3,4,3,7,3,3,4,3,5,NA,3,1,1,5,1,1,2,2,1,2,1,2,1,3,3,5,5,1,2,3,5,1,1,5,5,9,5,5,5,5,3,2,2,1,1,8,3,4,2,8,1,6836.628542,300,300,1,4,19,1,2,4,1,1,1,1,4,2,1,2,2,1,1,1,38
9564,4,3,2,3,2,1,10,2,5,3,5,2,1,1,3,8,3,3,3,3,1,10,2,3,2,1,4,2,2,1,5,1,2,1,3,3,2,4,5,1,1,2,3,5,3,5,2,3,2,1,3,1,4,4,4,4,4,7,7,NA,6,1,1,6055.644765,300,300,1,4,18,1,5,4,0,0,1,1,4,1,1,2,1,1,3,3,32
9565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,5,2,1,3,1,5,5,1,1,5,5,5,1,5,1,1,3,2,1,3,5,2,2,1,1,16,2,6,6,NA,2,5985.590599,NA,NA,2,7,30,1,0,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,79
9566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,2,1,1,1,2,1,5,1,1,2,1,4,5,1,1,2,5,1,3,5,4,3,3,5,2,3,5,3,3,3,3,6,8,NA,6,NA,2,12750.7375,NA,NA,1,5,NA,1,3,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,28
9567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,2,1,4,2,2,2,2,2,2,4,2,4,4,2,4,4,2,2,2,4,2,4,2,2,2,4,4,4,4,4,4,4,3,3,10,5,NA,4,NA,2,2833.22095,NA,NA,2,5,25,1,1,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,47
9568,3,3,5,2,1,3,6,97,1,2,1,3,5,4,3,6,1,3,2,3,5,8,2,4,2,2,1,4,4,2,2,3,1,2,2,3,2,3,4,2,3,5,5,2,5,5,4,2,4,5,4,4,3,2,2,3,3,8,4,5,NA,4,1,3504.674089,10,NA,2,6,21,2,3,4,2,NA,1,2,4,2,1,1,2,2,3,3,39
9569,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,4,4,3,7,3,3,NA,3,5,NA,1,5,3,2,3,2,2,2,2,3,5,2,2,2,2,5,5,2,3,3,5,2,3,5,2,2,3,2,3,3,3,5,5,3,3,11,3,NA,6,1,1,3582.561482,10,NA,2,5,23,1,4,4,2,NA,1,2,3,2,2,2,2,0,NA,1,54
9570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,1,3,1,2,2,2,1,1,1,2,2,2,2,3,3,2,9,3,3,1,5,4,4,3,2,5,9,9,3,1,1,1,1,10,8,5,NA,NA,2,2202.842417,25,NA,1,6,22,2,1,4,1,NA,1,2,1,2,2,2,2,0,NA,NA,45
9571,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,5,1,3,7,1,3,NA,3,3,NA,1,5,4,2,1,1,1,1,4,1,5,3,3,5,4,5,5,5,1,3,5,4,2,4,2,2,2,4,1,4,5,5,5,4,3,14,3,2,2,4,1,4591.291681,NA,NA,2,8,23,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,67
9572,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,5,3,3,10,1,3,3,3,3,10,1,5,1,4,1,5,5,3,1,3,1,2,2,3,2,5,5,3,5,3,5,1,2,5,5,4,3,5,5,3,3,5,5,3,3,11,7,NA,5,8,1,9066.279057,360,NA,2,7,18,1,1,4,1,NA,1,2,4,1,2,2,2,1,NA,3,53
9573,3,3,7,3,1,7,10,4,1,3,1,3,7,1,3,10,3,3,3,3,3,10,1,5,1,2,1,5,5,1,5,3,5,1,1,2,2,5,5,2,5,3,5,1,5,5,5,5,5,5,3,1,5,3,3,1,5,8,8,2,5,8,1,3492.937959,90,90,2,5,26,1,0,4,1,1,1,1,4,2,1,2,2,2,3,3,36
9574,2,1,1,1,97,3,7,1,1,1,1,1,5,1,3,8,3,3,3,3,3,9,3,5,2,2,1,2,2,2,3,3,2,4,1,5,3,5,5,2,1,4,5,5,4,3,5,2,2,5,2,4,4,4,3,2,2,5,4,2,2,4,1,3453.871219,5,5,2,5,17,1,1,4,2,2,1,1,4,2,1,1,2,2,3,3,24
9575,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,1,2,4,1,3,NA,3,4,7,3,5,2,2,2,1,1,1,2,4,2,2,2,2,2,4,5,2,3,4,5,3,4,5,3,2,3,4,2,2,3,4,4,3,3,12,7,5,5,7,1,3752.33518,75,75,2,7,22,1,5,4,1,1,1,1,3,2,2,2,2,0,NA,3,56
9576,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,1,2,2,4,10,3,3,NA,3,3,NA,1,4,2,3,2,4,4,2,3,3,4,4,2,3,2,4,5,2,4,3,4,2,4,5,5,3,2,3,4,3,5,4,4,4,4,16,7,NA,5,6,1,3860.000505,NA,NA,1,7,23,1,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,77
9577,1,2,1,3,97,1,5,1,1,3,1,1,5,1,3,5,3,3,3,3,3,6,4,2,1,3,2,1,3,2,4,5,1,2,3,5,3,5,5,3,3,5,5,1,1,5,5,5,2,5,5,5,5,3,3,2,3,7,4,6,6,1,1,4950.476629,10,10,2,5,21,1,1,4,2,2,1,1,4,2,1,2,2,1,3,3,30
9578,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,5,1,3,5,10,5,3,NA,3,3,NA,1,5,3,3,1,5,5,1,1,1,5,1,1,3,1,5,5,1,5,1,5,5,1,5,5,1,1,1,1,1,3,3,3,1,1,15,7,2,1,7,1,3766.573961,NA,NA,1,7,20,1,5,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,71
9579,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,5,5,3,7,1,3,NA,3,3,NA,1,2,1,5,1,2,2,1,1,3,4,1,3,4,2,5,5,4,3,5,2,2,1,5,2,2,1,5,1,3,4,4,3,2,2,16,2,NA,1,2,1,4320.090773,NA,NA,2,7,22,1,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,76
9580,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,5,5,3,8,3,3,NA,3,3,8,3,5,4,2,4,2,2,1,4,4,5,2,1,2,2,5,2,2,5,5,4,2,4,2,1,2,3,2,2,2,3,3,3,2,3,16,6,NA,2,3,1,2145.148122,NA,NA,2,7,29,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,78
9581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,1,2,2,1,2,1,3,2,2,3,2,4,5,2,4,3,3,1,2,5,2,2,3,2,4,2,3,3,4,2,3,11,8,4,3,NA,2,975.0001841,720,NA,2,2,19,1,2,4,1,NA,1,2,1,2,2,2,2,0,NA,NA,52
9582,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,5,5,1,10,1,3,NA,1,4,NA,1,5,2,5,1,3,3,1,2,1,1,1,1,1,1,5,5,1,1,1,5,5,5,5,5,2,9,5,4,2,4,4,4,4,4,15,8,2,4,8,1,3811.621583,NA,NA,2,7,20,1,NA,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,70
9583,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,4,5,3,9,5,3,NA,3,3,NA,1,2,3,2,2,4,4,1,3,2,5,1,1,2,2,3,4,2,4,3,4,2,2,1,1,2,1,1,1,2,1,3,3,1,2,11,2,NA,NA,1,1,3792.711782,NA,NA,1,6,19,6,4,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,54
9584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,3,1,1,1,4,2,5,5,1,3,5,5,1,2,5,2,3,5,5,9,5,4,3,3,3,3,8,6,4,6,NA,2,3326.972253,125,125,1,5,24,1,1,4,1,1,1,1,2,2,1,2,2,1,2,NA,39
9585,NA,NA,NA,NA,NA,NA,NA,5,1,1,5,5,4,5,4,10,1,3,NA,3,3,NA,1,2,1,3,2,4,4,1,5,2,5,4,2,4,2,5,5,4,5,5,5,5,1,5,1,1,4,5,5,5,3,5,5,3,9,15,1,1,2,2,1,3717.537361,30,NA,1,7,14,1,5,4,1,NA,1,2,3,2,2,2,2,0,NA,1,71
9586,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,1,1,9,1,3,NA,1,3,9,2,5,2,5,1,1,1,4,1,1,2,1,2,2,1,4,1,1,1,3,1,2,4,4,1,1,2,5,2,4,5,5,4,4,4,12,4,NA,NA,8,1,4199.442621,NA,NA,2,7,21,1,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,55
9587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,1,1,1,1,3,2,2,2,4,4,5,4,4,2,3,3,2,2,4,5,4,1,1,1,2,1,1,1,1,1,15,2,6,NA,NA,2,2732.763461,NA,NA,2,7,20,2,2,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,71
9588,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,6,4,1,3,10,1,3,3,3,3,10,1,5,1,5,4,1,3,1,4,5,5,5,5,5,5,5,5,5,5,3,3,5,1,3,2,2,4,1,3,2,3,3,3,2,9,10,2,5,6,4,1,1890.757697,15,15,2,5,29,1,2,4,2,2,1,1,4,1,2,2,2,1,NA,3,47
9589,4,3,5,2,5,3,9,3,4,2,5,5,1,1,3,9,3,3,3,3,3,NA,1,2,1,1,4,4,4,1,4,4,2,4,2,4,5,5,2,5,5,5,5,3,1,5,1,1,1,2,1,1,1,5,5,1,1,7,4,2,2,4,1,4379.482575,30,NA,1,6,18,1,4,4,2,NA,1,2,4,2,1,1,2,4,1,1,33
9590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,4,2,2,1,2,2,1,3,3,3,2,3,5,3,3,1,5,1,1,3,3,2,3,5,1,3,3,3,3,2,2,5,4,NA,5,NA,2,6900.044036,NA,NA,2,5,NA,1,2,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,21
9591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5,5,1,1,1,5,1,1,5,1,5,5,2,1,5,5,2,1,9,2,2,2,5,5,5,3,5,5,2,2,5,4,5,4,NA,2,10460.90127,NA,NA,1,4,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,1,0,NA,NA,21
9592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,3,3,1,2,5,2,1,2,2,2,3,3,2,2,5,4,2,3,4,3,3,3,4,2,2,3,4,4,3,3,5,5,NA,6,NA,2,7091.200547,NA,NA,2,8,NA,1,2,1,NA,NA,NA,NA,5,1,2,2,1,0,NA,NA,24
9593,1,3,1,3,3,7,10,1,3,5,1,1,3,2,3,10,1,3,2,3,5,10,1,5,2,2,1,1,1,5,1,2,1,1,2,5,1,4,5,2,1,1,5,1,2,5,5,5,1,5,2,2,4,3,3,4,1,8,7,4,5,4,1,4309.027208,10,10,2,4,18,1,0,4,2,2,1,1,4,2,1,2,2,1,3,3,39
9594,3,3,4,3,2,2,8,2,4,3,1,4,5,2,3,9,3,3,3,3,3,NA,3,5,1,2,2,3,3,2,1,5,2,2,1,3,2,5,5,1,1,5,5,2,1,5,5,2,2,5,2,3,3,4,4,3,3,6,1,NA,6,1,1,3454.030107,60,60,2,4,17,1,2,4,1,1,1,1,4,2,1,1,2,2,1,1,28
9595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,2,2,1,2,1,5,1,1,1,4,5,5,1,5,5,5,1,5,5,5,5,4,5,5,5,2,5,5,4,3,16,3,NA,2,NA,2,1669.619368,NA,NA,2,7,25,1,NA,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,76
9596,8,8,8,8,3,3,5,4,5,3,1,5,1,3,3,9,3,3,3,3,3,NA,2,4,3,1,3,9,9,1,2,2,5,9,1,1,3,5,4,4,4,4,9,9,5,3,5,4,3,9,9,1,3,4,4,5,4,9,1,NA,6,1,1,10415.82198,720,720,1,2,17,1,2,4,1,1,1,1,4,1,1,2,2,3,1,1,41
9597,NA,NA,NA,NA,NA,NA,NA,2,3,5,5,3,1,5,3,10,3,3,NA,3,3,9,1,5,1,1,1,1,1,1,1,1,1,1,2,3,1,5,5,2,3,5,5,1,3,5,2,3,5,5,5,3,2,5,4,1,1,13,3,NA,2,3,1,5687.949277,NA,NA,1,7,21,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,63
9598,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,3,1,5,3,6,3,3,NA,3,5,NA,2,4,2,1,2,2,2,1,4,4,2,2,1,2,2,5,3,2,2,3,5,3,2,4,2,2,3,5,1,5,4,4,4,2,1,6,3,6,NA,5,1,6597.961079,10,15,1,6,24,2,3,4,1,1,1,1,3,2,2,2,2,0,NA,1,25
9599,8,8,6,6,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,1,1,1,5,5,5,1,1,5,1,3,5,1,1,1,1,5,5,5,1,1,1,1,1,5,3,5,4,3,3,8,3,NA,5,NA,2,4393.313703,240,30,2,8,19,3,5,4,0,0,1,1,2,1,1,2,2,2,2,NA,37
9600,3,4,4,2,97,4,5,4,4,2,5,5,1,1,1,5,2,3,2,2,3,7,5,5,5,3,2,3,3,1,5,5,5,1,3,2,1,1,5,1,1,3,2,4,1,3,1,2,5,1,1,5,5,4,4,3,1,7,7,NA,NA,6,1,4104.096746,3,3,1,4,25,1,4,4,2,2,1,1,4,2,1,1,2,2,3,3,30
9601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,5,1,1,1,1,1,1,1,2,3,2,2,3,2,4,1,1,2,5,5,1,1,2,5,5,5,5,5,5,3,5,3,1,1,6,4,NA,6,NA,2,2711.223105,5,NA,2,5,24,1,2,4,2,NA,1,2,1,2,2,2,2,0,NA,NA,29
9602,5,5,5,3,3,3,8,5,2,3,3,5,1,4,4,8,5,2,3,3,3,NA,3,5,2,2,3,2,2,1,5,2,3,3,1,2,2,5,5,2,3,2,2,5,2,3,2,2,4,5,2,5,4,4,2,4,4,9,8,2,4,8,1,6651.529875,540,NA,1,3,22,1,3,4,0,NA,1,2,4,2,1,1,2,2,1,3,43
9603,8,3,3,3,3,5,10,4,1,1,1,1,5,3,3,10,3,3,3,3,3,10,1,1,1,1,1,1,4,2,1,4,5,1,3,3,3,3,3,3,4,1,4,3,4,4,1,4,1,2,4,4,4,4,4,2,2,9,5,NA,5,4,1,3481.310729,3,3,2,3,20,1,5,4,2,2,1,1,4,2,1,2,2,2,3,3,42
9604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,2,2,2,1,1,2,3,2,2,4,5,5,5,5,5,3,2,2,2,5,2,2,3,2,2,3,2,4,5,1,2,12,2,1,1,NA,2,919.6547481,NA,15,2,5,21,1,5,4,NA,2,2,1,1,2,2,2,2,0,NA,NA,58
9605,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,1,4,3,8,5,3,NA,3,3,NA,1,1,1,4,1,2,2,1,3,1,3,1,1,3,1,5,5,2,2,2,3,2,1,3,3,3,3,3,1,3,5,3,5,3,3,14,4,NA,5,4,1,1933.214436,NA,NA,1,7,23,1,3,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,68
9606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,2,3,4,3,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,2,3,3,5,2,4,4,4,3,3,6,5,5,4,NA,2,6111.692454,NA,NA,1,4,NA,1,2,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,29
9607,3,4,4,3,97,4,10,4,4,2,4,4,2,1,3,10,3,3,3,3,3,10,1,5,1,1,4,1,1,1,5,1,5,1,1,2,2,5,4,4,2,4,5,2,1,4,2,4,2,1,1,1,4,5,5,1,1,7,4,NA,5,4,1,4578.906198,5,5,1,6,19,1,NA,4,2,2,1,1,4,2,1,2,2,2,3,3,30
